ds,energy,emissions,corrected_emissions,efficiency_rating,emissions_factor,corrected_emissions_factor
2017-01-01,12.5563069478554,2.825035966413818,4.264205232322745,66.25,0.2249894,0.339606641509434
2017-01-02,11.681759887124493,2.6282721479482074,3.9672032421859735,66.25,0.2249894,0.339606641509434
2017-01-03,10.833038824057883,2.4373189052014888,3.6789719323796057,66.25,0.2249894,0.339606641509434
2017-01-04,10.744920705806914,2.417493262647074,3.649046434184263,66.25,0.2249894,0.339606641509434
2017-01-05,11.65754047492428,2.622823036928929,3.9589781689493266,66.25,0.2249894,0.339606641509434
2017-01-06,12.212476544672898,2.7476777703000286,4.1474381438491,66.25,0.2249894,0.339606641509434
2017-01-07,12.054487393665564,2.712131886008379,4.093783978880572,66.25,0.2249894,0.339606641509434
2017-01-08,11.947563509232536,2.688075145404123,4.057471917591129,66.25,0.2249894,0.339606641509434
2017-01-09,11.22331055892863,2.525125908667017,3.81151080553512,66.25,0.2249894,0.339606641509434
2017-01-10,10.454987084065158,2.3522612710515696,3.5505830506438785,66.25,0.2249894,0.339606641509434
2017-01-11,10.330062408230118,2.3241545431902493,3.508157801041886,66.25,0.2249894,0.339606641509434
2017-01-12,11.216584600190096,2.5236126392460094,3.8092266252769957,66.25,0.2249894,0.339606641509434
2017-01-13,11.727866827958358,2.6386457209022542,3.982861465512837,66.25,0.2249894,0.339606641509434
2017-01-14,11.393102379517403,2.563327268506193,3.869173235481046,66.25,0.2249894,0.339606641509434
2017-01-15,11.173301496073815,2.51387439962075,3.7945273956539625,66.25,0.2249894,0.339606641509434
2017-01-16,10.6076687761445,2.3866130333434854,3.6024347673109216,66.25,0.2249894,0.339606641509434
2017-01-17,9.946111581556227,2.2377696770673867,3.377765550290395,66.25,0.2249894,0.339606641509434
2017-01-18,9.852566347509867,2.2167229909864368,3.345996967526697,66.25,0.2249894,0.339606641509434
2017-01-19,10.810819651279836,2.4323198268496595,3.6714261537353354,66.25,0.2249894,0.339606641509434
2017-01-20,11.421422723103133,2.56969904561734,3.878791012252589,66.25,0.2249894,0.339606641509434
2017-01-21,11.085519931851788,2.4941244781553746,3.764716193442075,66.25,0.2249894,0.339606641509434
2017-01-22,10.856618962978992,2.4426241865092657,3.686979904164929,66.25,0.2249894,0.339606641509434
2017-01-23,10.358593124308154,2.330573651882217,3.5178470217090068,66.25,0.2249894,0.339606641509434
2017-01-24,9.636083931639384,2.168016742129186,3.2724781013270734,66.25,0.2249894,0.339606641509434
2017-01-25,9.36921712389288,2.107974539174385,3.1818483610179396,66.25,0.2249894,0.339606641509434
2017-01-26,10.118375522892542,2.276527237870279,3.436267528860799,66.25,0.2249894,0.339606641509434
2017-01-27,10.556607650941464,2.3751248214207297,3.585094070069026,66.25,0.2249894,0.339606641509434
2017-01-28,10.135829064397802,2.280454099701423,3.442194867473846,66.25,0.2249894,0.339606641509434
2017-01-29,9.94835665365694,2.2382747944922827,3.378527991686465,66.25,0.2249894,0.339606641509434
2017-01-30,9.67145678416705,2.1759752589956745,3.2844909569746026,66.25,0.2249894,0.339606641509434
2017-01-31,9.197558933687876,2.0693532659550753,3.1235520995548303,66.25,0.2249894,0.339606641509434
2017-02-01,9.14033064745277,2.05647750817201,3.1041169934671853,66.25,0.2249894,0.339606641509434
2017-02-02,10.07962659993298,2.2678091409429615,3.423108137272395,66.25,0.2249894,0.339606641509434
2017-02-03,10.673204820715709,2.401357948689935,3.6246912433055622,66.25,0.2249894,0.339606641509434
2017-02-04,10.313786679765698,2.3204926768084766,3.5026304555599648,66.25,0.2249894,0.339606641509434
2017-02-05,10.144590606774493,2.2824253538638293,3.4451703454548364,66.25,0.2249894,0.339606641509434
2017-02-06,9.877015638370096,2.2222238222675053,3.3543001090830264,66.25,0.2249894,0.339606641509434
2017-02-07,9.38820629727525,2.11224690190018,3.1882972104153664,66.25,0.2249894,0.339606641509434
2017-02-08,9.324854338617309,2.097993382732905,3.1667824645024982,66.25,0.2249894,0.339606641509434
2017-02-09,10.296763150786084,2.316662563237471,3.49684915205656,66.25,0.2249894,0.339606641509434
2017-02-10,10.929902982495994,2.4591123140899844,3.7118676439094105,66.25,0.2249894,0.339606641509434
2017-02-11,10.58045915740542,2.380491157549151,3.59319420007419,66.25,0.2249894,0.339606641509434
2017-02-12,10.408630274520526,2.3418314802862086,3.5348399702433335,66.25,0.2249894,0.339606641509434
2017-02-13,10.123142082082618,2.277599663162519,3.4378862840188966,66.25,0.2249894,0.339606641509434
2017-02-14,9.588598629427953,2.1573330524758174,3.2563517773219885,66.25,0.2249894,0.339606641509434
2017-02-15,9.478171056117986,2.132488019013352,3.2188498400201544,66.25,0.2249894,0.339606641509434
2017-02-16,10.432322155721588,2.3471619024225068,3.5428858904490665,66.25,0.2249894,0.339606641509434
2017-02-17,11.072853826060712,2.491274738613104,3.7604146997933645,66.25,0.2249894,0.339606641509434
2017-02-18,10.74088101747091,2.4165843755921697,3.647674529195728,66.25,0.2249894,0.339606641509434
2017-02-19,10.611660333776127,2.3875110915000906,3.60379032679259,66.25,0.2249894,0.339606641509434
2017-02-20,10.37711934033816,2.3347418541110785,3.5241386477148353,66.25,0.2249894,0.339606641509434
2017-02-21,9.834450285729364,2.2126470691160782,3.3398446326280427,66.25,0.2249894,0.339606641509434
2017-02-22,9.639226689624987,2.1687238293627122,3.2735454028116413,66.25,0.2249894,0.339606641509434
2017-02-23,10.440773131317492,2.349063282351244,3.54575589788867,66.25,0.2249894,0.339606641509434
