ds,energy,emissions
2017-01-01,14.770726711853648,3.323256940463925
2017-01-02,12.879094502760628,2.8976597447194123
2017-01-03,11.925014551306488,2.683001868889716
2017-01-04,12.227515555328797,2.751061388284093
2017-01-05,12.00905825591975,2.701910811564431
2017-01-06,11.930176252361184,2.6841631969129915
2017-01-07,13.327188999786184,2.9984762567484937
2017-01-08,14.026330908966626,3.155775775409856
2017-01-09,12.324368942089777,2.7728523736594135
2017-01-10,11.453014090018344,2.5768067683047735
2017-01-11,11.720723003766205,2.6370384361835564
2017-01-12,11.520419784405217,2.591972335041459
2017-01-13,11.449062036554226,2.5759175981671136
2017-01-14,12.707290213397714,2.859005600738224
2017-01-15,13.335897579051789,3.0004355947723145
2017-01-16,11.823031415715462,2.6600567444029726
2017-01-17,11.040625734372789,2.4840237596010932
2017-01-18,11.29727547590194,2.541767230957892
2017-01-19,11.127180889672104,2.503497752058793
2017-01-20,11.076436389822476,2.492080777484325
2017-01-21,12.25154856436978,2.7564685605684183
2017-01-22,12.85017055922498,2.8911521640176927
2017-01-23,11.477154573691704,2.5822381212421526
2017-01-24,10.764083786150186,2.421804752595659
2017-01-25,11.02445295948236,2.480385056682161
2017-01-26,10.882917767286733,2.4485411387111817
2017-01-27,10.853662420208355,2.441958995725226
2017-01-28,11.992089247882546,2.6980929646275453
2017-01-29,12.585763053542491,2.831663277958693
2017-01-30,11.295094134802284,2.541276452332685
2017-01-31,10.62445239582562,2.3903891698653688
2017-02-01,10.893346080898578,2.4508873987337227
2017-02-02,10.771158231858209,2.4233964278908395
2017-02-03,10.757147598623078,2.420244183925647
2017-02-04,11.886476815107368,2.6743312867449176
2017-02-05,12.484399616372292,2.808857579047832
2017-02-06,11.228697341128356,2.526337877562064
2017-02-07,10.57584512867622,2.3794530499937854
2017-02-08,10.849846978507864,2.4411005617862975
2017-02-09,10.735074517635251,2.4152779746780446
2017-02-10,10.72538938037582,2.4130989214571277
2017-02-11,11.84921766241094,2.66594837233524
2017-02-12,12.443490894454357,2.799653550248749
2017-02-13,11.1969916169413,2.519204425700653
2017-02-14,10.546742674239264,2.3729053062314875
2017-02-15,10.814912145202538,2.433240594601832
2017-02-16,10.69557969027598,2.4063920571673787
2017-02-17,10.679087721779162,2.4026815390704606
