BMG_ID,Occupancy,Household Ownership,Landlord Type,Green Energy,Eco Type,Gas Supply,Smart Meter,Meter Reading Frequency,Primary Heating,EV,Property Type,Number of bedrooms,Main Heating System,Water Heating System,Appliances,Number of Appliances
956633729,1.0,Mortgage,Unknown,No,No,Mains,No,Asked to by provider,Gas boiler,No,Detached,5.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge-freezer, Fridge, Standalone freezer, Toaster, Kettle, Microwave, Games console, Bath",14
956633740,2.0,Mortgage,Unknown,No,No,Mains,No,Asked to by provider,Gas boiler,No,Semi detached,3.0,Single house thermostat,Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Electric hob, Electric oven, Fridge-freezer, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, Vacuum cleaner, Bath, Electric blanket, Hair drier",15
956633842,1.0,Own,Unknown,No,No,Mains,Smart electricity meter,Regularly,Gas boiler,No,Detached,4.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves","Gas, oil or solid fuel","Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric hob, Electric oven, Fridge-freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), PC/laptop, Vacuum cleaner, Bath, Power shower",14
956634028,1.0,Rent,Private landlord,Yes,No,No,Smart electricity meter,Asked to by provider,Unknown,No,Detached,3.0,None,Electric immersion heater,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Electric hob, Electric oven, Fridge-freezer, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, Games console, Vacuum cleaner, Power shower, Electric blanket",14
956634170,2.0,Mortgage,Unknown,Yes,No,Mains,No,Electricity bills,Gas boiler,No,Terraced,5.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Electric immersion heater,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Gas hob, Fridge, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, Cooling fans, Vacuum cleaner, Bath, Shower",15
956634355,1.0,Rent,Housing association,No,No,Mains,No,Asked to by provider,Gas boiler,No,Semi detached,3.0,"Programmer/timer, Single house thermostat",Gas or oil direct heating,"Coffee-maker, Combined washing machine and tumble dryer, Gas hob, Gas oven, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Vacuum cleaner, Bath, Shower, Electric blanket",15
956634556,2.0,Rent,Council,Unknown,No,Mains,No,Do not read,Gas boiler,No,Semi detached,4.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Standalone washing machine, Electric oven, Fridge, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, PC/laptop, Cooling fans, Bath, Shower",14
956634616,2.0,Mortgage,Unknown,No,No,Mains,No,Do not read,Electric Heater,No,Terraced,3.0,Programmer/timer,Gas or oil direct heating,"Coffee-maker, Standalone washing machine, Electric hob, Electric oven, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, Games console, PC/laptop, Plug in electric heater, Vacuum cleaner, Bath, Power shower, Electric blanket, Hair drier",17
956634643,2.0,Rent,Private landlord,Unknown,Unknown,Mains,No,Electricity bills,Electric Heater,No,Terraced,2.0,Room thermostats,Electric immersion heater,"Standalone tumble dryer, Standalone washing machine, Electric hob, Electric oven, Fridge-freezer, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, Games console, Vacuum cleaner, Shower, Hair drier",13
956634653,2.0,Mortgage,Unknown,No,Unsure,Mains,No,Regularly,Gas boiler,No,Terraced,2.0,Programmer/timer,Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric hob, Electric oven, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Mobile phones, PC/laptop, Handheld devices, Vacuum cleaner, Bath, Hair drier",18
