bmg_id,missing_days_2017,longest_missing_streak_2017,missing_days_2018,longest_missing_streak_2018
A2956618240,0,0,22,22
G3956619343,365,365,266,266
G4956620389,365,365,266,266
A1956629214,0,0,0,0
A1956648011,262,262,0,0
A4956619551,365,365,362,271
A4956644600,0,0,98,98
I3956645900,365,365,266,266
a3956613381,0,0,328,328
A1956619766,0,0,0,0
A2956646929,0,0,56,56
A3956610266,0,0,249,249
A4956636233,0,0,98,98
E3956638463,365,365,266,266
a3956663185,365,365,250,152
A1956634355,0,0,0,0
A2956610843,0,0,0,0
A4956621673,258,258,98,98
E4956646870,365,365,266,266
A1956637367,0,0,227,201
A2956637071,0,0,22,14
A3956636995,0,0,98,98
A4956610888,0,0,225,225
A4956647150,242,242,98,98
G3956660697,365,365,304,266
a4956661936,0,0,98,98
A3956637154,10,10,98,98
A4956624415,0,0,120,98
A4956630761,0,0,201,201
A4956646705,0,0,98,98
E3956610900,365,365,266,266
a1956651801,5,5,118,118
a2956639604,22,22,0,0
A1956620374,101,101,208,208
A2956628964,219,219,275,275
A2956646655,0,0,0,0
A3956614269,11,11,98,98
A4956610746,113,113,98,98
E4956636233,365,365,266,266
A2956622869,0,0,0,0
A4956612452,0,0,98,98
A4956631519,0,0,98,98
C4956611964,365,365,266,266
a1956645368,308,271,364,364
A2956634643,12,12,49,49
A3956621937,0,0,100,100
A3956650622,261,261,98,98
A4956613376,12,12,98,98
A4956626742,365,365,298,157
C3956616714,365,365,266,266
E4956619147,365,365,342,266
E4956630265,365,365,266,266
G4956613037,365,365,266,266
I4956611829,365,365,268,268
A2956636723,3,3,0,0
A3956638843,0,0,98,98
A3956639647,0,0,151,151
A4956616264,251,251,139,98
F4956610753,365,365,266,266
A2956626330,0,0,0,0
A3956615446,0,0,98,98
A4956662710,9,9,127,127
a1956661806,0,0,0,0
a4956620388,78,78,364,364
E3956634798,365,365,266,266
G4956634170,365,365,265,252
I3956629513,365,365,275,275
I3956650622,365,365,266,266
A1956621286,0,0,36,36
A1956631849,0,0,6,6
A2956617332,0,0,0,0
A3956640188,0,0,98,98
E3956616959,365,365,269,266
I3956638878,365,365,266,266
a2956660011,0,0,0,0
a2956660872,0,0,0,0
A1956612105,0,0,0,0
A1956638684,0,0,0,0
A1956643457,365,365,149,149
A1956651459,0,0,0,0
E4956624221,365,365,266,266
G4956617312,365,365,266,266
a1956638151,365,365,152,152
a2956649655,201,201,268,242
A2956650423,26,26,0,0
