,changepoint_prior_scale,seasonality_prior_scale,changepoint_range,mape,rmse
0,0.01,0.01,0.8,0.07931417960952476,0.9867197855898392
1,0.01,0.01,0.8375,0.07707768276249884,0.9611567672016832
2,0.01,0.01,0.875,0.07791570203209913,0.9630078969338229
3,0.01,0.01,0.9125,0.07789144195423763,0.9638639212422918
4,0.01,0.01,0.95,0.07721190284674496,0.9580540708692536
5,0.01,0.05623413251903491,0.8,0.06985871157495183,0.956664904852141
6,0.01,0.05623413251903491,0.8375,0.06856128094360732,0.9319517997709189
7,0.01,0.05623413251903491,0.875,0.06869751200520442,0.917529897014925
8,0.01,0.05623413251903491,0.9125,0.06982393499867698,0.9477725103491297
9,0.01,0.05623413251903491,0.95,0.0699621000270931,0.949458840695216
10,0.01,0.31622776601683794,0.8,0.07039286005840159,0.9693009967494288
11,0.01,0.31622776601683794,0.8375,0.07061805391750976,0.9630243891750312
12,0.01,0.31622776601683794,0.875,0.0714379082361712,0.987070163793168
13,0.01,0.31622776601683794,0.9125,0.0696360467064561,0.950863623107479
14,0.01,0.31622776601683794,0.95,0.06890374660729308,0.9306594300021299
15,0.01,1.7782794100389228,0.8,0.06926967079255777,0.9471873847629182
16,0.01,1.7782794100389228,0.8375,0.06795780931908127,0.9117436393182596
17,0.01,1.7782794100389228,0.875,0.07119167413317018,0.9777000297836969
18,0.01,1.7782794100389228,0.9125,0.07086240671876319,0.978337800950934
19,0.01,1.7782794100389228,0.95,0.06809975069418944,0.9233071615499858
20,0.01,10.0,0.8,0.0698344272628176,0.9530535882716376
21,0.01,10.0,0.8375,0.07090654502952319,0.9743233316618476
22,0.01,10.0,0.875,0.07118228191155404,0.9793980727411624
23,0.01,10.0,0.9125,0.06830332471126654,0.922569699741837
24,0.01,10.0,0.95,0.06867535457618533,0.922101483960878
25,0.026591479484724942,0.01,0.8,0.09923268495096584,1.3163172355446913
26,0.026591479484724942,0.01,0.8375,0.09929663623918475,1.326892243375467
27,0.026591479484724942,0.01,0.875,0.10168266429654925,1.358272499862087
28,0.026591479484724942,0.01,0.9125,0.09845670438758465,1.3212118303325375
29,0.026591479484724942,0.01,0.95,0.09890688864780556,1.3176969934948035
30,0.026591479484724942,0.05623413251903491,0.8,0.07337673830796464,0.9847712342705259
31,0.026591479484724942,0.05623413251903491,0.8375,0.07388296087583163,0.9924822689417883
32,0.026591479484724942,0.05623413251903491,0.875,0.07363488408098652,0.9877073907640908
33,0.026591479484724942,0.05623413251903491,0.9125,0.07428701856642592,1.0006552606605201
34,0.026591479484724942,0.05623413251903491,0.95,0.07407115652138084,0.9953891621124912
35,0.026591479484724942,0.31622776601683794,0.8,0.07398932576048134,0.9951771069463426
36,0.026591479484724942,0.31622776601683794,0.8375,0.07242318877938644,0.9714878622144603
37,0.026591479484724942,0.31622776601683794,0.875,0.07240942182749584,0.9737341411751964
38,0.026591479484724942,0.31622776601683794,0.9125,0.07320646475744434,0.9813046773992459
39,0.026591479484724942,0.31622776601683794,0.95,0.07320468504580546,0.9853257799081608
40,0.026591479484724942,1.7782794100389228,0.8,0.07350519393984907,0.9892874780346114
41,0.026591479484724942,1.7782794100389228,0.8375,0.07310609481615923,0.9858807359858194
42,0.026591479484724942,1.7782794100389228,0.875,0.07341474456648578,0.992923044485258
