,changepoint_prior_scale,seasonality_prior_scale,changepoint_range,mape
0,0.01,0.01,0.8,0.24518009314909356
1,0.01,0.01,0.875,0.2470591981794437
2,0.01,0.01,0.95,0.24773895266207482
3,0.01,0.021544346900318832,0.8,0.23900061667113168
4,0.01,0.021544346900318832,0.875,0.23868166558461018
5,0.01,0.021544346900318832,0.95,0.23924518186495258
6,0.01,0.046415888336127774,0.8,0.24247420477044407
7,0.01,0.046415888336127774,0.875,0.24010652764692408
8,0.01,0.046415888336127774,0.95,0.23616527609216165
9,0.01,0.1,0.8,0.23671894077133568
10,0.01,0.1,0.875,0.23989251282329954
11,0.01,0.1,0.95,0.23877374523979575
12,0.01,0.21544346900318834,0.8,0.24227462741300484
13,0.01,0.21544346900318834,0.875,0.2436302653927172
14,0.01,0.21544346900318834,0.95,0.23915577510526292
15,0.01,0.46415888336127775,0.8,0.2400068558130935
16,0.01,0.46415888336127775,0.875,0.23702806668757084
17,0.01,0.46415888336127775,0.95,0.2389732667139389
18,0.01,1.0,0.8,0.24147485158429502
19,0.01,1.0,0.875,0.2339811836396627
20,0.01,1.0,0.95,0.23917501144641218
21,0.01,2.154434690031882,0.8,0.2453791209578325
22,0.01,2.154434690031882,0.875,0.23588814553888274
23,0.01,2.154434690031882,0.95,0.24026030229622933
24,0.01,4.6415888336127775,0.8,0.23722959124757995
25,0.01,4.6415888336127775,0.875,0.23563656042811454
26,0.01,4.6415888336127775,0.95,0.23936037164473098
27,0.01,10.0,0.8,0.24123653511547904
28,0.01,10.0,0.875,0.2398379071912521
29,0.01,10.0,0.95,0.23815295554152913
30,0.01544452104946379,0.01,0.8,0.2511180701385496
31,0.01544452104946379,0.01,0.875,0.2514102522171965
32,0.01544452104946379,0.01,0.95,0.25094542325327174
33,0.01544452104946379,0.021544346900318832,0.8,0.24083825028347497
34,0.01544452104946379,0.021544346900318832,0.875,0.23923919327445378
35,0.01544452104946379,0.021544346900318832,0.95,0.23987312908159975
36,0.01544452104946379,0.046415888336127774,0.8,0.23935164387025926
37,0.01544452104946379,0.046415888336127774,0.875,0.24140561993604046
38,0.01544452104946379,0.046415888336127774,0.95,0.23958325842658415
39,0.01544452104946379,0.1,0.8,0.23970466179787786
40,0.01544452104946379,0.1,0.875,0.24176082653582695
41,0.01544452104946379,0.1,0.95,0.24065776399230704
42,0.01544452104946379,0.21544346900318834,0.8,0.24528663113919563
43,0.01544452104946379,0.21544346900318834,0.875,0.23971900500422091
44,0.01544452104946379,0.21544346900318834,0.95,0.24098136799579895
45,0.01544452104946379,0.46415888336127775,0.8,0.24916444538232468
46,0.01544452104946379,0.46415888336127775,0.875,0.24457412427621583
47,0.01544452104946379,0.46415888336127775,0.95,0.2432540242993218
48,0.01544452104946379,1.0,0.8,0.24004818307673487
49,0.01544452104946379,1.0,0.875,0.23899932898814666
50,0.01544452104946379,1.0,0.95,0.23861979926323906
51,0.01544452104946379,2.154434690031882,0.8,0.24107546301203503
52,0.01544452104946379,2.154434690031882,0.875,0.24071608360496202
53,0.01544452104946379,2.154434690031882,0.95,0.23846261181627879
54,0.01544452104946379,4.6415888336127775,0.8,0.2392306300466044
55,0.01544452104946379,4.6415888336127775,0.875,0.23952735207178977
56,0.01544452104946379,4.6415888336127775,0.95,0.23765745944432126
57,0.01544452104946379,10.0,0.8,0.24209421330653874
58,0.01544452104946379,10.0,0.875,0.23732939229587144
