,changepoint_prior_scale,seasonality_prior_scale,changepoint_range,mape,rmse
0,0.01,0.01,0.8,0.2778664379590278,1.6824351817536651
1,0.01,0.01,0.875,0.27645138906233,1.6826770609492196
2,0.01,0.01,0.95,0.2775906722513209,1.6804237019212456
3,0.01,0.021544346900318832,0.8,0.2776823318941154,1.6939648161972842
4,0.01,0.021544346900318832,0.875,0.2791463793800969,1.7079151671571515
5,0.01,0.021544346900318832,0.95,0.2775416830139868,1.7018997686408495
6,0.01,0.046415888336127774,0.8,0.2861697885892098,1.842854631450941
7,0.01,0.046415888336127774,0.875,0.3141020670183124,2.160204299350059
8,0.01,0.046415888336127774,0.95,0.2842702238027787,1.7786662370421253
9,0.01,0.1,0.8,0.32393132798637636,2.2718241095055682
10,0.01,0.1,0.875,0.3252886984392334,2.279048439898242
11,0.01,0.1,0.95,0.32240612568536653,2.2424831250728805
12,0.01,0.21544346900318834,0.8,0.3254477415289473,2.302933495191381
13,0.01,0.21544346900318834,0.875,0.32384071647169094,2.289502310298994
14,0.01,0.21544346900318834,0.95,0.32392516057629367,2.2743128816179152
15,0.01,0.46415888336127775,0.8,0.3249696166518149,2.293299440659704
16,0.01,0.46415888336127775,0.875,0.3251040596391265,2.292664595943269
17,0.01,0.46415888336127775,0.95,0.32397013232585714,2.2824484894840715
18,0.01,1.0,0.8,0.32519083314022473,2.297889147782931
19,0.01,1.0,0.875,0.32411269634844925,2.2929174128460947
20,0.01,1.0,0.95,0.3232470370241514,2.272127414589581
21,0.01,2.154434690031882,0.8,0.32606323043439495,2.305186052326595
22,0.01,2.154434690031882,0.875,0.32337623096893603,2.2915737263702125
23,0.01,2.154434690031882,0.95,0.3248506989097852,2.2815212981182893
24,0.01,4.6415888336127775,0.8,0.32508968911715985,2.2979006538112894
25,0.01,4.6415888336127775,0.875,0.32309457397837493,2.2915916887818812
26,0.01,4.6415888336127775,0.95,0.3232466956107421,2.254270922915187
27,0.01,10.0,0.8,0.32454143543591113,2.2994130186308235
28,0.01,10.0,0.875,0.3235737158255568,2.2971466610167486
29,0.01,10.0,0.95,0.3028591755361018,2.010408861928976
30,0.01544452104946379,0.01,0.8,0.2791468358450193,1.6756163883352817
31,0.01544452104946379,0.01,0.875,0.27787098410113376,1.6800556159866165
32,0.01544452104946379,0.01,0.95,0.2785107731148435,1.678292381785181
33,0.01544452104946379,0.021544346900318832,0.8,0.2780885579338039,1.6906551534888097
34,0.01544452104946379,0.021544346900318832,0.875,0.27853661729094925,1.7174007133304883
35,0.01544452104946379,0.021544346900318832,0.95,0.2799012654350143,1.7288735134369961
36,0.01544452104946379,0.046415888336127774,0.8,0.2808841336123681,1.7506760465861775
37,0.01544452104946379,0.046415888336127774,0.875,0.2792515021442796,1.7262655251543357
38,0.01544452104946379,0.046415888336127774,0.95,0.28079938764216306,1.730322392873697
39,0.01544452104946379,0.1,0.8,0.2813438442267187,1.7600713968960833
40,0.01544452104946379,0.1,0.875,0.2934457359612067,1.9014267228927455
41,0.01544452104946379,0.1,0.95,0.28784605341590186,1.8305733814161442
42,0.01544452104946379,0.21544346900318834,0.8,0.2855858365579368,1.8131153876202046
43,0.01544452104946379,0.21544346900318834,0.875,0.28964426268913956,1.8580004951389486
44,0.01544452104946379,0.21544346900318834,0.95,0.2891437925767875,1.8513055696271241
45,0.01544452104946379,0.46415888336127775,0.8,0.28387242854112427,1.7986993298698153
46,0.01544452104946379,0.46415888336127775,0.875,0.28757989573784964,1.8426303279826675
47,0.01544452104946379,0.46415888336127775,0.95,0.2857208548009588,1.8132954226501148
48,0.01544452104946379,1.0,0.8,0.2840202775506157,1.796421059266166
49,0.01544452104946379,1.0,0.875,0.3161368894600465,2.1738992167832047
50,0.01544452104946379,1.0,0.95,0.2821572292324129,1.757518671246596
51,0.01544452104946379,2.154434690031882,0.8,0.28104180837410936,1.7528891156394575
52,0.01544452104946379,2.154434690031882,0.875,0.31609121722622935,2.1708747411680407
53,0.01544452104946379,2.154434690031882,0.95,0.2832994482378182,1.7963850713915777
54,0.01544452104946379,4.6415888336127775,0.8,0.3149765982295816,2.1502961349640977
55,0.01544452104946379,4.6415888336127775,0.875,0.2875127650838442,1.8297988290716134
56,0.01544452104946379,4.6415888336127775,0.95,0.30023341113862967,1.9874975964219357
57,0.01544452104946379,10.0,0.8,0.2873667552144423,1.8346665238213007
58,0.01544452104946379,10.0,0.875,0.3149077203473155,2.1561659170955823
59,0.01544452104946379,10.0,0.95,0.3001277977200628,1.9863469342577351
60,0.023853323044733008,0.01,0.8,0.28035629276374197,1.6767194158847545
61,0.023853323044733008,0.01,0.875,0.28045804486136167,1.6781101801603304
62,0.023853323044733008,0.01,0.95,0.2804806802557172,1.6749180824380607
63,0.023853323044733008,0.021544346900318832,0.8,0.2785439278430335,1.7017583259169906
64,0.023853323044733008,0.021544346900318832,0.875,0.2787179021119083,1.6991290796057068
65,0.023853323044733008,0.021544346900318832,0.95,0.2796438598545887,1.7085978735200464
66,0.023853323044733008,0.046415888336127774,0.8,0.2804087582457367,1.7285400316245374
67,0.023853323044733008,0.046415888336127774,0.875,0.28027373060921135,1.7233056474043884
68,0.023853323044733008,0.046415888336127774,0.95,0.28079996827294534,1.7074755791133902
69,0.023853323044733008,0.1,0.8,0.2813090227310811,1.740402204096875
70,0.023853323044733008,0.1,0.875,0.2836825231550501,1.724982702244389
71,0.023853323044733008,0.1,0.95,0.2813637986389195,1.743836250052988
72,0.023853323044733008,0.21544346900318834,0.8,0.282216400147755,1.744444916245575
73,0.023853323044733008,0.21544346900318834,0.875,0.28223475277557486,1.7483016333761567
74,0.023853323044733008,0.21544346900318834,0.95,0.28167669539540724,1.7388328693153356
75,0.023853323044733008,0.46415888336127775,0.8,0.28190540139371983,1.7366481079281662
76,0.023853323044733008,0.46415888336127775,0.875,0.2829918816947369,1.7276863940849423
77,0.023853323044733008,0.46415888336127775,0.95,0.28265622406100444,1.7349752667728584
78,0.023853323044733008,1.0,0.8,0.2824716954706846,1.7372754334469123
79,0.023853323044733008,1.0,0.875,0.2821675114728135,1.737128286953601
80,0.023853323044733008,1.0,0.95,0.28145769014795574,1.7400953789582203
81,0.023853323044733008,2.154434690031882,0.8,0.2823662311962293,1.7519775799765138
82,0.023853323044733008,2.154434690031882,0.875,0.28163419875962353,1.7398419372603673
83,0.023853323044733008,2.154434690031882,0.95,0.2825621315624468,1.7334468091722213
84,0.023853323044733008,4.6415888336127775,0.8,0.2831637251076457,1.7279882902961266
85,0.023853323044733008,4.6415888336127775,0.875,0.282152956558197,1.7417710610558483
86,0.023853323044733008,4.6415888336127775,0.95,0.28151089693136655,1.7392550630903338
87,0.023853323044733008,10.0,0.8,0.28173683312601283,1.7434490357435668
88,0.023853323044733008,10.0,0.875,0.28210152094308816,1.7449993385567322
89,0.023853323044733008,10.0,0.95,0.28267396078800294,1.7313354063582758
90,0.03684031498640387,0.01,0.8,0.2819453350312446,1.6760862988399925
91,0.03684031498640387,0.01,0.875,0.2810109107853895,1.6750644957985443
92,0.03684031498640387,0.01,0.95,0.28180192986287245,1.6747302363575787
93,0.03684031498640387,0.021544346900318832,0.8,0.2798186742215027,1.6909023032874533
94,0.03684031498640387,0.021544346900318832,0.875,0.27992285073866763,1.6971781555264223
95,0.03684031498640387,0.021544346900318832,0.95,0.27992311685784055,1.6927214841815048
96,0.03684031498640387,0.046415888336127774,0.8,0.28260683375327833,1.7449149596978375
97,0.03684031498640387,0.046415888336127774,0.875,0.2814893303140777,1.7373078439703042
98,0.03684031498640387,0.046415888336127774,0.95,0.28132005830077245,1.7307582493755358
99,0.03684031498640387,0.1,0.8,0.28213305077661394,1.73628248765924
100,0.03684031498640387,0.1,0.875,0.28282737740827935,1.733041802670227
101,0.03684031498640387,0.1,0.95,0.2822529218329987,1.7356962138016652
102,0.03684031498640387,0.21544346900318834,0.8,0.2834055368291178,1.724006270789849
103,0.03684031498640387,0.21544346900318834,0.875,0.28263639533524204,1.7366760298490929
104,0.03684031498640387,0.21544346900318834,0.95,0.2831695848515741,1.7503941669175145
105,0.03684031498640387,0.46415888336127775,0.8,0.2825276402377892,1.7446246621230728
106,0.03684031498640387,0.46415888336127775,0.875,0.2827367785963949,1.7469510587932346
107,0.03684031498640387,0.46415888336127775,0.95,0.28298678107689984,1.7578193109915246
108,0.03684031498640387,1.0,0.8,0.2828632495895407,1.7354610954887526
109,0.03684031498640387,1.0,0.875,0.2826420114244964,1.742559485826977
110,0.03684031498640387,1.0,0.95,0.28307700169851757,1.7510645863647738
111,0.03684031498640387,2.154434690031882,0.8,0.2825721899241976,1.736175380916072
112,0.03684031498640387,2.154434690031882,0.875,0.2823692390083587,1.7499996631605137
113,0.03684031498640387,2.154434690031882,0.95,0.2824281431080003,1.7370466238651312
114,0.03684031498640387,4.6415888336127775,0.8,0.28336520762784806,1.7697659913000023
115,0.03684031498640387,4.6415888336127775,0.875,0.2830928099947044,1.7477864440994428
116,0.03684031498640387,4.6415888336127775,0.95,0.2821982887541249,1.7396783615340676
117,0.03684031498640387,10.0,0.8,0.28347424439568064,1.723261545006351
118,0.03684031498640387,10.0,0.875,0.2828781998050422,1.7373090245231413
119,0.03684031498640387,10.0,0.95,0.2833498618064442,1.7567427993790965
120,0.05689810202763908,0.01,0.8,0.28968522462372853,1.683467213420249
121,0.05689810202763908,0.01,0.875,0.2900825138302294,1.6879158222338628
122,0.05689810202763908,0.01,0.95,0.29005049989601117,1.6869616917484818
123,0.05689810202763908,0.021544346900318832,0.8,0.28188514554728406,1.694053465981809
124,0.05689810202763908,0.021544346900318832,0.875,0.28245494187289677,1.6950267980737552
125,0.05689810202763908,0.021544346900318832,0.95,0.2817065648314934,1.6929963459847497
126,0.05689810202763908,0.046415888336127774,0.8,0.2829743970015787,1.7247058928739183
127,0.05689810202763908,0.046415888336127774,0.875,0.2831645599230106,1.7199021162994834
128,0.05689810202763908,0.046415888336127774,0.95,0.28372681241580733,1.7335397350273851
129,0.05689810202763908,0.1,0.8,0.28529699789478324,1.7679152867250685
130,0.05689810202763908,0.1,0.875,0.2842523644193819,1.7553661335491633
131,0.05689810202763908,0.1,0.95,0.28400142945808127,1.7390320688604588
132,0.05689810202763908,0.21544346900318834,0.8,0.28409436067990385,1.7560288843737586
133,0.05689810202763908,0.21544346900318834,0.875,0.28379131535111407,1.7433753357872817
134,0.05689810202763908,0.21544346900318834,0.95,0.28451366618932794,1.739119099329295
135,0.05689810202763908,0.46415888336127775,0.8,0.2841582648269792,1.753717499295502
136,0.05689810202763908,0.46415888336127775,0.875,0.2851603192785584,1.7626636552490718
137,0.05689810202763908,0.46415888336127775,0.95,0.28385619952701846,1.746558664838506
138,0.05689810202763908,1.0,0.8,0.28458411122298355,1.764811679945174
139,0.05689810202763908,1.0,0.875,0.28408878336006943,1.7593691742444142
140,0.05689810202763908,1.0,0.95,0.2844541591468714,1.7521463133922321
141,0.05689810202763908,2.154434690031882,0.8,0.28452178157262564,1.755181220397953
142,0.05689810202763908,2.154434690031882,0.875,0.2846094450586452,1.7458283541458208
143,0.05689810202763908,2.154434690031882,0.95,0.2847786098034264,1.7561797778902637
144,0.05689810202763908,4.6415888336127775,0.8,0.28408283645913446,1.7535358276732587
145,0.05689810202763908,4.6415888336127775,0.875,0.2842273290881794,1.7459392602667578
146,0.05689810202763908,4.6415888336127775,0.95,0.2843993051887693,1.7485005632056052
147,0.05689810202763908,10.0,0.8,0.2844229217306477,1.7578443022273142
148,0.05689810202763908,10.0,0.875,0.2847541698416655,1.7613493184070972
149,0.05689810202763908,10.0,0.95,0.2841210570226834,1.7452509285308044
150,0.08787639344404101,0.01,0.8,0.31190260491988825,1.7542104385484303
151,0.08787639344404101,0.01,0.875,0.31158186629413603,1.7553113666565825
152,0.08787639344404101,0.01,0.95,0.31204805903098337,1.753953960960967
153,0.08787639344404101,0.021544346900318832,0.8,0.28730578027380704,1.6968607234561515
154,0.08787639344404101,0.021544346900318832,0.875,0.28693914574711127,1.6956000603781685
155,0.08787639344404101,0.021544346900318832,0.95,0.2890529661646364,1.7026426229697742
156,0.08787639344404101,0.046415888336127774,0.8,0.2846608048066733,1.7285713855078133
157,0.08787639344404101,0.046415888336127774,0.875,0.28472611931934794,1.7262065325680056
158,0.08787639344404101,0.046415888336127774,0.95,0.2850499449007714,1.7229490151637235
159,0.08787639344404101,0.1,0.8,0.2858237760748348,1.7498420660050198
160,0.08787639344404101,0.1,0.875,0.2859588848626025,1.7522412039893247
161,0.08787639344404101,0.1,0.95,0.28600823436172557,1.7504874078258108
162,0.08787639344404101,0.21544346900318834,0.8,0.2864409911057407,1.759829769983843
163,0.08787639344404101,0.21544346900318834,0.875,0.28610787172828533,1.7479094952753502
164,0.08787639344404101,0.21544346900318834,0.95,0.2871431170313604,1.7656317995219988
165,0.08787639344404101,0.46415888336127775,0.8,0.2869516723025202,1.7604577771695205
166,0.08787639344404101,0.46415888336127775,0.875,0.28661567819443245,1.7634523016263202
167,0.08787639344404101,0.46415888336127775,0.95,0.28625613479774653,1.756033128140896
168,0.08787639344404101,1.0,0.8,0.286291561004259,1.753647262940935
169,0.08787639344404101,1.0,0.875,0.2870655603310983,1.765341142660776
170,0.08787639344404101,1.0,0.95,0.2863678528896699,1.754431800359958
171,0.08787639344404101,2.154434690031882,0.8,0.2857476180777045,1.7546855976143552
172,0.08787639344404101,2.154434690031882,0.875,0.28654604842638726,1.7669252379825011
173,0.08787639344404101,2.154434690031882,0.95,0.2872493842586903,1.7692700077023635
174,0.08787639344404101,4.6415888336127775,0.8,0.28680589093775266,1.7584380549076217
175,0.08787639344404101,4.6415888336127775,0.875,0.286777322801482,1.7599115279752962
176,0.08787639344404101,4.6415888336127775,0.95,0.2863931879123257,1.7516743382201974
177,0.08787639344404101,10.0,0.8,0.28643433692061987,1.7597482487719005
178,0.08787639344404101,10.0,0.875,0.2860833539314729,1.756870921810208
179,0.08787639344404101,10.0,0.95,0.28648072791304274,1.7554717811857732
180,0.13572088082974532,0.01,0.8,0.32962772233967014,1.8381689996468253
181,0.13572088082974532,0.01,0.875,0.3287506246798698,1.8333345897896518
182,0.13572088082974532,0.01,0.95,0.3290268381539307,1.8345775713464303
183,0.13572088082974532,0.021544346900318832,0.8,0.3040524278264746,1.743324584355341
184,0.13572088082974532,0.021544346900318832,0.875,0.3045345516860471,1.7431250257271258
185,0.13572088082974532,0.021544346900318832,0.95,0.304123106730843,1.7425714755377295
186,0.13572088082974532,0.046415888336127774,0.8,0.288491355199839,1.7307757190022803
187,0.13572088082974532,0.046415888336127774,0.875,0.28971589593855723,1.7311061863482902
