ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-01,0.6803392019243123,12.902709958055263,17.641145798864397,0.6793652546571,0.681372318152376,0.009808664844734326,0.009076392360803907,0.010547080968332014,0.003349221750342547,0.003101785931199046,0.0035835949265171393,0.006459443094391778,0.005798813422619095,0.007155059605832505,0.0,0.0,0.0,14.770726711853648
2017-01-02,0.6802846829469135,11.45575393199143,14.851126165612522,0.6793270854837442,0.6812914849460661,0.006531987144100408,0.005812971888295577,0.007236012728708902,0.00016757829471810632,-9.486376064418198e-05,0.0004191897107428948,0.006364408849382302,0.005695067839311168,0.007049719104093245,0.0,0.0,0.0,12.879094502760628
2017-01-03,0.6802301639695146,10.751107666986837,13.475156488294163,0.6792820985064382,0.681206001809491,0.004411612700791706,0.0037017205877341417,0.005125567494965191,-0.0018493042287713861,-0.0020857089923845074,-0.0016057809370567911,0.0062609169295630915,0.00558556390989499,0.006953280011811762,0.0,0.0,0.0,11.925014551306488
2017-01-04,0.6801756449921158,11.014469773836847,13.890449632318349,0.679251319887711,0.6811353230782745,0.005200192773370734,0.004432132774695396,0.005900133483406156,-0.0009499805173789322,-0.0011815522574871078,-0.0007123117408176139,0.006150173290749666,0.005453806867709745,0.006838940793549167,0.0,0.0,0.0,12.227515555328797
2017-01-05,0.680121126014717,10.83182283080738,13.609673897216037,0.6792058597059509,0.6810728436893224,0.004729081462734725,0.003973064392657432,0.00545565557754849,-0.0013043375801928372,-0.0015631301581977089,-0.0010570316357858347,0.0060334190429275625,0.0053232485096627695,0.00673070161739442,0.0,0.0,0.0,12.00905825591975
2017-01-06,0.6800666070373181,10.717837418539979,13.446423993593612,0.679176654762967,0.6810050667520434,0.004588073134833427,0.0038502973075393216,0.00536306172553141,-0.0013238410452218892,-0.0015669055003246955,-0.0010781499776673505,0.005911914180055317,0.0051878208450635704,0.006610429321695004,0.0,0.0,0.0,11.930176252361184
2017-01-07,0.6800119562401897,11.82372107383789,15.46355765644607,0.6791435527216356,0.6809271674683819,0.007697585210500808,0.0069349440260736825,0.008447767976264111,0.0019106633265061474,0.0016638180473622203,0.002164362823207501,0.00578692188399466,0.005060226121651812,0.00649109335411248,0.0,0.0,0.0,13.327188999786184
2017-01-08,0.6799573054430612,12.367530732192803,16.45519863021481,0.679106371832647,0.6808506702307587,0.009008915380293633,0.00821106926519571,0.009744700496722724,0.003349221750341562,0.0031017859311983247,0.003583594926516088,0.005659693629952071,0.004939342765216871,0.0063789840708389015,0.0,0.0,0.0,14.026330908966626
2017-01-09,0.6799026546459327,11.072957840879095,14.080073284505913,0.6790743261568182,0.6807830184664561,0.005699033580993179,0.004920021766984942,0.006476543939787347,0.0001675782947153639,-9.48637606468744e-05,0.0004191897107401087,0.005531455286277816,0.004795586121737178,0.0062534372477522655,0.0,0.0,0.0,12.324368942089775
2017-01-10,0.6798480038488042,10.418790372685057,12.814946994533909,0.6790440139579006,0.6807352199031806,0.0035540901355265637,0.0027540534581425658,0.004325568354644005,-0.0018493042287714204,-0.002085708992384462,-0.0016057809370568085,0.005403394364297984,0.004648335778703289,0.006130921748157782,0.0,0.0,0.0,11.453014090018343
2017-01-11,0.6797933530516758,10.60338226677326,13.216104242009934,0.6790007320160055,0.6806595613692001,0.0043266680179127465,0.00354236677992434,0.00505696933438213,-0.0009499805173799101,-0.0011815522574879893,-0.0007123117408184973,0.0052766485352926575,0.004500532221063899,0.006022822788058948,0.0,0.0,0.0,11.720723003766205
2017-01-12,0.6797387022545474,10.437127018097902,12.922386781369784,0.6789556244767969,0.680582501202364,0.0038479579128280245,0.0030125364186047734,0.004598999982279205,-0.0013043375801914427,-0.0015631301581960249,-0.0010570316357841974,0.005152295493019468,0.004372385093097807,0.005895589390124807,0.0,0.0,0.0,11.520419784405217
2017-01-13,0.6796836880077902,10.356578425558958,12.901885813908969,0.6789236611003143,0.6805163831332697,0.003707503157307356,0.002902468309870626,0.004493318221260538,-0.0013238410452205748,-0.001566905500323281,-0.001078149977666112,0.00503134420252793,0.004256438051152154,0.005761735366901826,0.0,0.0,0.0,11.449062036554226
2017-01-14,0.679628673761033,11.364961374050601,14.479788298135109,0.6788807534116098,0.680441119104545,0.006825390867038062,0.006032342730141731,0.0075925756646472616,0.0019106633265087783,0.0016638180473647613,0.002164362823210229,0.004914727540529284,0.004131987399670009,0.005674538284307257,0.0,0.0,0.0,12.707290213397714
2017-01-15,0.6795736595142758,11.829950021499718,15.357730514220632,0.6788402893893044,0.6803674007725097,0.008152518050624977,0.007372415069962883,0.008952436607138752,0.0033492217503405777,0.0031017859311976027,0.003583594926515037,0.0048032963002843975,0.004036381775633737,0.005575776905620415,0.0,0.0,0.0,13.335897579051789
2017-01-16,0.6795186452675187,10.654573471737754,13.392310006495554,0.6788050190915614,0.6803033728288606,0.004865392800450369,0.004089676824534648,0.005699188740320911,0.00016757829472017295,-9.48637606421529e-05,0.0004191897107449945,0.004697814505730195,0.0039526220056241325,0.0054806481452817435,0.0,0.0,0.0,11.823031415715462
2017-01-17,0.6794636310207616,10.03632724459945,12.26751447316956,0.6787668578655444,0.6802371338999715,0.0027496517272952397,0.001969326536983192,0.003550138199938884,-0.0018493042287714004,-0.0020857089923844874,-0.0016057809370567987,0.00459895595606664,0.0038524949638383075,0.005390971150269603,0.0,0.0,0.0,11.040625734372787
