ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,quarterly,quarterly_lower,quarterly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2017-02-05,10.034233253313984,10.995729085621901,13.681454674879035,9.892904522407795,10.177429709331724,2.2869032589133385,2.0593302265999878,2.520537877241467,0.021348034794482242,-0.04910486100972223,0.09159753543528663,-0.014790123301752146,-0.47124742852312657,0.4545830553688626,1.0321527817978622,0.9329699706464789,1.1315346584016057,1.248192565622746,0.7517999191932719,1.725866927095261,0.0,0.0,0.0,12.321136512227323,9.223
2017-02-06,10.035477639738522,9.976871430299969,12.694034844482019,9.895068370693327,10.177817738885278,1.2931269559261687,1.0599408073280945,1.526411216480037,0.009203444524471974,-0.060583910113734644,0.07928578630247345,-0.016985594358191025,-0.47524210424344454,0.4542041171199137,0.06481229173317983,-0.03670269932007113,0.1653671477497563,1.2360968140267081,0.741098202297151,1.7127818730164366,0.0,0.0,0.0,11.328604595664691,7.893
2017-02-07,10.036722026163064,9.315640931121116,11.988380210488971,9.897367692794946,10.178097948425545,0.631302342933724,0.4001993856606532,0.8642183560883512,-0.003330346804004198,-0.07357888672415654,0.06728423253904948,-0.01998929667707497,-0.4818247207375819,0.45234553966680996,-0.5708016065289737,-0.6692908851368478,-0.4701700142813616,1.2254235929437767,0.7329393699699279,1.7014577645600288,0.0,0.0,0.0,10.668024369096788,6.793
2017-02-08,10.037966412587602,9.577508611872709,12.282822789359182,9.899405379853794,10.178427681038885,0.8838322577077488,0.6595901042782262,1.1123244607369147,-0.015723302329349223,-0.087108886257053,0.05524967335751713,-0.023731461748963092,-0.4837236879248946,0.45118990775538204,-0.2928068675664973,-0.39235653127106124,-0.19223096858702238,1.2160938893525586,0.7201776246073218,1.695377717788835,0.0,0.0,0.0,10.92179867029535,9.579
2017-02-09,10.039210799012142,9.47900683381829,12.125864673433586,9.9014056127775,10.178771722419294,0.7622830958955803,0.5434505254568218,0.9931746828660845,-0.027451340943108568,-0.09829044709651907,0.04339491189098469,-0.02812304448368248,-0.4861851157184905,0.45298120472497183,-0.3901580160119551,-0.4901811938591868,-0.2902378579421801,1.2080154973343264,0.706905451989931,1.6900367389398174,0.0,0.0,0.0,10.801493894907722,9.478
2017-02-10,10.040455185436683,9.397057711182288,12.100822696344672,9.903257958415177,10.17922105273042,0.717684226764716,0.5009368863102264,0.9404595864979481,-0.03801849996195568,-0.10814039627486444,0.03221583670026596,-0.033057495482060294,-0.49439902409410996,0.4432420432475125,-0.41232389278639364,-0.5120683828692378,-0.31370807109869087,1.2010841149951255,0.7038183041172831,1.6860071406082917,0.0,0.0,0.0,10.758139412201398,12.21
2017-02-11,10.041699571861223,10.347071879493022,13.09317404060093,9.90508770848628,10.179803555449634,1.6789190543620391,1.4536861647036068,1.9007633316947505,-0.046977908710006434,-0.11795370982300124,0.023510382223418953,-0.038412889434024544,-0.5036317905202367,0.43441167489772214,0.5691253093661688,0.4688455104422717,0.6687098034764031,1.1951845431399015,0.7005336368441921,1.681660731572366,0.0,0.0,0.0,11.720618626223262,10.361
2017-02-12,10.042943958285761,10.803032618170068,13.538623551604694,9.906955631798304,10.180265710817595,2.1243396999685222,1.902469078080164,2.3491107030643485,-0.05395068606739128,-0.1235515202195055,0.01685609440495098,-0.04405436881597382,-0.5098869137060036,0.42956235861466446,1.0321527817983602,0.9329699706470547,1.1315346584019779,1.1901919730535269,0.6967747118562616,1.6796557184077663,0.0,0.0,0.0,12.167283658254284,12.12
2017-02-13,10.044188344710303,9.819448396673652,12.524851863193616,9.908830767863893,10.180315048441017,1.14230682286891,0.9170949847199771,1.3708794408384302,-0.058641962833731714,-0.12819938952790924,0.012473236662869272,-0.04983685597599503,-0.5159607988158057,0.42021105223719546,0.06481229173233125,-0.03670269932091238,0.16536714774884864,1.1859733499463054,0.6900970377896455,1.6788535344184305,0.0,0.0,0.0,11.186495167579213,6.415
2017-02-14,10.045432731134841,9.220566218526564,11.898957499590614,9.910894682119862,10.181025618672013,0.49512585859518676,0.2734248935626142,0.7222894278746836,-0.0608533513425073,-0.13019555109451525,0.00981633938137242,-0.05560798150163711,-0.5278060343711516,0.41668069826583687,-0.5708016065289777,-0.6692908851368436,-0.47017001428138094,1.182388797968309,0.6861766155955838,1.6762524068547788,0.0,0.0,0.0,10.54055858973003,8.501
