ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,y_median,y_median_lower,y_median_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-01,2.7078918585838414,9.447353711623279,16.491804298459034,2.490731080616967,2.9495875906220173,0.4966663941096164,0.2753498189298197,0.718608737059916,0.8717918728549551,0.30016636909014427,1.4374341647868358,-0.020332679353459227,-0.05518989432669484,0.01487276308507511,-0.2238237505027621,-0.3666352163203669,-0.08073862106046023,0.8717918728549551,0.30016636909014427,1.4374341647868358,-0.1309690488891174,-0.5072905380684627,0.2174863064905264,0.0,0.0,0.0,12.5563069478554
2017-01-02,2.7087275789428897,8.77025276286103,15.391110087627084,2.4962085885072667,2.943633911398395,0.3827429271682039,0.17622585407014832,0.5684784484132477,0.5417084795570308,0.18651546599245453,0.8931836830733557,-0.013402978417851697,-0.05076648091382559,0.02353026910581094,-0.019858358307281485,-0.05249588863946569,0.012747750457239854,0.5417084795570308,0.18651546599245453,0.8931836830733557,-0.12570421566369389,-0.49300054895810275,0.21219323736392373,0.0,0.0,0.0,11.681759887124493
2017-01-03,2.709563299301938,8.237106182396044,14.183082430090462,2.504371535269677,2.9408450072787624,0.2653130821515077,0.07389631133836144,0.4438717333799754,0.3598614589390587,0.12390377895067957,0.5933493667187472,-0.009629091160726218,-0.04682187564105447,0.028237058620193583,0.03580146518326099,-0.046981037654603826,0.1221199508872286,0.3598614589390587,0.12390377895067957,0.5933493667187472,-0.12072075081008585,-0.4872094898959773,0.20891792802511144,0.0,0.0,0.0,10.833038824057885
2017-01-04,2.710399019660986,8.184187397155767,14.1271612187294,2.507895015711414,2.937323788280499,0.2519470607825483,0.059236667714056446,0.4370135708346345,0.41877104344238686,0.1441869183507586,0.6904810928051285,-0.008999626123874279,-0.046946766687455864,0.030698756499723832,-0.041740980526141544,-0.0895953690725981,0.010264008245266413,0.41877104344238686,0.1441869183507586,0.6904810928051285,-0.11608337600982273,-0.4818555286243979,0.20897764952551165,0.0,0.0,0.0,10.744920705806914
2017-01-05,2.7112347400200343,8.87701172796528,15.14650671365475,2.5093161281135115,2.9337156243562603,0.37700643439998893,0.18542828780468315,0.5550695799626728,0.37635009324733265,0.1295809751321049,0.6205362756856453,-0.010185769932212329,-0.047495276755692505,0.0254024412851436,0.12269030006931393,0.060819799698532045,0.1864082898015278,0.37635009324733265,0.1295809751321049,0.6205362756856453,-0.11184818898444547,-0.47131575846605855,0.20520395138769496,0.0,0.0,0.0,11.65754047492428
2017-01-06,2.712070460379082,9.34077056512789,15.841078923388043,2.5157172701225465,2.929300265400286,0.4488218653130776,0.26065523481460207,0.6216831623880078,0.36087688136351787,0.1242533987071066,0.5950236228457608,-0.01126953667796927,-0.04550916755020674,0.023850250008910844,0.2072763501456406,0.146852901745614,0.26903984511415696,0.36087688136351787,0.1242533987071066,0.5950236228457608,-0.10806182951811164,-0.45497431083808376,0.20448249118493758,0.0,0.0,0.0,12.212476544672898
2017-01-07,2.71290618073813,9.22801766553813,15.68242941014904,2.5231150521549854,2.9255186268767464,0.4275829051909961,0.23973521076395618,0.611377642177214,0.6233250194893164,0.21461682964585357,1.02775525521495,-0.010636266841884541,-0.043744051411726846,0.02740794805510296,-0.08034502606201854,-0.16724882578133093,0.003307751034808375,0.6233250194893164,0.21461682964585357,1.02775525521495,-0.10476082139441723,-0.44951983010624386,0.19940315774099332,0.0,0.0,0.0,12.054487393665564
2017-01-08,2.7137419010971784,9.032561574855986,15.639821978948998,2.5299240620483325,2.922051929428809,0.41281390176410876,0.22419516542323054,0.6082194899375413,0.7462820648731124,0.2569521289484735,1.2304901777797987,-0.007673313961433371,-0.04115087046031312,0.028837079291049023,-0.22382375050269934,-0.3666352163202859,-0.080738621060423,0.7462820648731124,0.2569521289484735,1.2304901777797987,-0.10197109864487089,-0.44397383990481404,0.1967461253472013,0.0,0.0,0.0,11.947563509232536
2017-01-09,2.7145776214562267,8.622145576953796,14.592561067221837,2.536182525492257,2.9180920016198653,0.31480996419955865,0.12706984560891627,0.49359288678013513,0.4373798300238824,0.15059410345452506,0.7211637665376456,-0.003003785570627601,-0.03749600992309029,0.03358379139255323,-0.0198583583071288,-0.05249588863934591,0.01274775045721885,0.4373798300238824,0.15059410345452506,0.7211637665376456,-0.09970772194656742,-0.43212792513181536,0.19252624314198538,0.0,0.0,0.0,11.22331055892863
2017-01-10,2.7154133418152746,7.91566545826968,13.569243838532522,2.5402513280561876,2.9156016529308215,0.20510076216501974,0.019183900354275422,0.3746275575548947,0.2654474593296716,0.09139612622248869,0.437676994793248,0.001826626061030462,-0.032116133986683656,0.03788095978351957,0.035801465183376034,-0.046981037654503635,0.12211995088742461,0.2654474593296716,0.09139612622248869,0.437676994793248,-0.09797478840905838,-0.42519897603288187,0.1870815627047266,0.0,0.0,0.0,10.454987084065158
2017-01-11,2.716249062174323,7.818961012459215,13.343106129339505,2.545742561729948,2.911036612229949,0.18594695019052893,0.0008230695855073133,0.35953482592247066,0.3193802744073091,0.10996571580084674,0.5266028880134351,0.005073191670622466,-0.030013279667659345,0.04083274899486549,-0.041740980526174504,-0.08959536907268123,0.010264008245310294,0.3193802744073091,0.10996571580084674,0.5266028880134351,-0.09676553536122816,-0.41965539599611623,0.18411539747511088,0.0,0.0,0.0,10.330062408230118
