ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,y_median,y_median_lower,y_median_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-01,1.2127739214138382,8.90710860666465,14.937557672465095,1.1856794901138723,1.2426242863173362,-0.016626618286174934,-0.037703984817206326,0.00429431980600304,-0.057229628034465636,-0.0784600764057257,-0.03519935684277478,0.010406442615213913,0.0017169356662089783,0.018787701341826484,-0.057229628034465636,-0.0784600764057257,-0.03519935684277478,0.030196567133076783,0.011759107240389685,0.04721521207121092,0.0,0.0,0.0,11.233257228484629
2017-01-02,1.2124159669548424,9.644956132202676,16.7949444209599,1.1855819339766118,1.2418775386790428,0.002464910194277145,-0.018306744699516275,0.02247850565254123,-0.026340037622513735,-0.036111389071889745,-0.016200566304023698,0.00070557086624638,-0.003919195359812979,0.005174937803753303,-0.026340037622513735,-0.036111389071889745,-0.016200566304023698,0.028099376950544496,0.009539631339800162,0.045073904228439404,0.0,0.0,0.0,12.3916660906276
2017-01-03,1.2120580124958464,9.111244207357394,15.806280718096701,1.1854843778393511,1.2411062157641433,-0.008619880684842204,-0.03292601138595741,0.013618876637074213,-0.02887463675082897,-0.039586247254538354,-0.017759483638192377,-0.005817958744567202,-0.012619889168263593,0.0009834168650090702,-0.02887463675082897,-0.039586247254538354,-0.017759483638192377,0.026072714810553968,0.007389048493166183,0.04285375722516353,0.0,0.0,0.0,11.661711630365575
2017-01-04,1.2117000580368504,8.773918467743847,14.651330182763333,1.1853868217020904,1.2403348928492435,-0.017050286060567126,-0.03831655028074824,0.002720404265207374,-0.032995656987074254,-0.04523604044226662,-0.02029413687348049,-0.008193705796534423,-0.011997781493502955,-0.004163659106589377,-0.032995656987074254,-0.04523604044226662,-0.02029413687348049,0.02413907672304155,0.005093589193624613,0.0409950276196842,0.0,0.0,0.0,11.148503559507237
2017-01-05,1.2113421035778544,8.602779243828886,14.499261962904018,1.185310310188626,1.239592373750447,-0.0199885327990231,-0.04218999282436395,0.001087543129667207,-0.03430185703187542,-0.047026800907362463,-0.02109752146751132,-0.008004266614929218,-0.012112031289241341,-0.0038336643482348434,-0.03430185703187542,-0.047026800907362463,-0.02109752146751132,0.022317590847781538,0.0031208082270154755,0.039763319466362634,0.0,0.0,0.0,10.965672580011764
2017-01-06,1.2109841491188587,9.130855230146793,15.601451863194422,1.185219522734946,1.2387922470194443,-0.007918927279555593,-0.03128223941742455,0.013420967124105313,-0.028592726989238267,-0.03919975756041338,-0.01758609368902624,5.0112954519243855e-05,-0.005087354527332502,0.0051609929546507305,-0.028592726989238267,-0.03919975756041338,-0.01758609368902624,0.02062368675516343,0.0012317689362350821,0.0383571766472457,0.0,0.0,0.0,11.639138169902091
2017-01-07,1.2106261946598627,9.011535597792804,15.298906811728223,1.1852480774580922,1.2380209241045446,-0.012699592666334684,-0.034810396506739456,0.007383856366428594,-0.04262226157021346,-0.058433822029558116,-0.02621502613213758,0.010853804720043657,0.004526454850475643,0.016941750824420353,-0.04262226157021346,-0.058433822029558116,-0.02621502613213758,0.019068864183835126,-0.0005434174560140681,0.03688207200493343,0.0,0.0,0.0,11.335366154458418
2017-01-08,1.2102682402008667,8.342818707358044,13.749689590273771,1.1852766321812387,1.237249601189645,-0.027572021724888096,-0.05029941295881034,-0.006393504661251197,-0.05563903054240353,-0.07627941570524395,-0.034221052236590756,0.010406442615208605,0.0017169356662041844,0.018787701341821315,-0.05563903054240353,-0.07627941570524395,-0.034221052236590756,0.017660566202306834,-0.002442943105596816,0.0357362663316627,0.0,0.0,0.0,10.508599053712844
2017-01-09,1.2099102857418707,9.172109969255418,15.807642081825186,1.185305186904385,1.2364782782747452,-0.007274358333314467,-0.02954059360332968,0.013732162450506423,-0.02438208812923028,-0.03342709996993968,-0.014996320089934921,0.0007055708662393467,-0.003919195359818474,0.005174937803758176,-0.02438208812923028,-0.03342709996993968,-0.014996320089934921,0.016402158929676468,-0.003965892131559285,0.03495877186934577,0.0,0.0,0.0,11.6132418519593
2017-01-10,1.2095523312828749,8.619844333023881,14.214928203881234,1.1853337416275311,1.2357069553598456,-0.017473649930490873,-0.04253041985725802,0.005326614432404709,-0.02694870835432899,-0.0369458581006836,-0.016574932153055874,-0.0058179587445625425,-0.01261988916826309,0.0009834168650178165,-0.02694870835432899,-0.0369458581006836,-0.016574932153055874,0.015293017168400662,-0.005296345731537694,0.0338996235273817,0.0,0.0,0.0,11.00546053148453
2017-01-11,1.2091943768238789,8.429515473200766,13.88075272221463,1.1853622963506776,1.235046306471143,-0.02498605662669168,-0.04751053998524922,-0.004138580336529662,-0.03112106335373615,-0.04266602968467761,-0.019141159080311478,-0.008193705796532256,-0.011997781493499234,-0.004163659106579785,-0.03112106335373615,-0.04266602968467761,-0.019141159080311478,0.014328712523576722,-0.006249700297568666,0.03309840824426863,0.0,0.0,0.0,10.586113279563346
2017-01-12,1.208836422364883,8.276022241985425,13.594133808898409,1.1853844217216543,1.2342165035656782,-0.026946315882133868,-0.04985637190467218,-0.004946114041482605,-0.03244334716959887,-0.04447884050987051,-0.01995443607477224,-0.008004266614933636,-0.01211203128925067,-0.0038336643482366705,-0.03244334716959887,-0.04447884050987051,-0.01995443607477224,0.013501297902398632,-0.0069950945047947055,0.032537635002824125,0.0,0.0,0.0,10.46766241849116
