ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-01,2.811394330027244,8.168928559048622,16.32956630339776,2.3853332974798023,3.2393819527914762,0.28128172272064633,-0.10292388415534662,0.6407036962658318,-0.017493955133267392,-0.061848382897582925,0.02803259676930581,-0.006224396118341453,-0.045386940552128545,0.03207403036853204,0.3050000739722551,-0.07988730854037031,0.6653156378414228,0.0,0.0,0.0,11.69081184251176
2017-01-02,2.8079554252832923,8.053422151194379,16.424052960620745,2.3882451856283797,3.2292652426079522,0.2823403752891394,-0.0983535833944187,0.6403059648378944,-0.01091938208943418,-0.05651484496042723,0.03504952732977308,-0.009276230701196602,-0.04780726524890157,0.02888150761818858,0.30253598807977017,-0.07935659312856932,0.6656358769049979,0.0,0.0,0.0,11.672945034601426
2017-01-03,2.80451652053934,7.752246156358693,15.523675025898472,2.3894714358792135,3.2213453987735825,0.20618242077809298,-0.17579520442451976,0.5711480485472495,-0.008078520472610993,-0.05584784466435461,0.036358191784289756,-0.08483158211795251,-0.12197302282962826,-0.04969425222577674,0.29909252336865655,-0.07975630159188442,0.6584822141608412,0.0,0.0,0.0,11.088232135823317
2017-01-04,2.8010776157953883,7.614732751306117,15.204472702506155,2.392326450986749,3.2106607871796444,0.18392132062558864,-0.2046052152607386,0.5457992110710995,-0.008748614670865624,-0.05315079294539266,0.03802878795602386,-0.1020307506948947,-0.14225666137900345,-0.06199902098982081,0.29470068599134897,-0.08014035747504082,0.6500428239239778,0.0,0.0,0.0,10.90465666723591
2017-01-05,2.7976387110514365,8.443807192564963,16.52327864832544,2.3948888822982775,3.2019335214210316,0.3176873418596107,-0.05826372743846283,0.6828235781719841,-0.011264668887247914,-0.05553924730129806,0.03406334129233965,0.03954831535989816,0.004667908137911479,0.07261060496656818,0.2894036953869605,-0.0807374189380261,0.6459758815431116,0.0,0.0,0.0,11.86195366126323
2017-01-06,2.794199806307484,8.86113489732664,17.16970110911673,2.396398642758159,3.188308986961275,0.390301045141057,0.007505658766527952,0.7625801129604727,-0.013356060878677838,-0.05672513975541757,0.0314650976466888,0.12040057685624643,0.08337294974056465,0.1563467514683926,0.28325652916348837,-0.08597414035134984,0.6402063843472557,0.0,0.0,0.0,12.397400392163723
2017-01-07,2.7907609015635324,8.29440277490424,16.18146080979141,2.3967290840796713,3.1800671193644297,0.30558435117837995,-0.08600548846025292,0.6823602786027311,-0.013155030258389745,-0.05719424236548113,0.03180140334909333,0.04241406741637191,0.0036469210672098857,0.08055378758717907,0.2763253140203978,-0.08988839774802537,0.6251925060349742,0.0,0.0,0.0,11.718397763256739
2017-01-08,2.7873219968195806,8.035406048559805,15.78689770607063,2.3953475942032645,3.1769879459097226,0.25248405907156335,-0.12821338067418953,0.6288769289547651,-0.00997811664533363,-0.05308319074895373,0.03592105277700376,-0.006224396118342064,-0.045386940552132826,0.03207403036852494,0.26868657183523903,-0.0981097706554581,0.6259010202323465,0.0,0.0,0.0,11.299197418022189
2017-01-09,2.783883092075629,7.896579894409641,15.466178397858236,2.396164744815348,3.1668397360387894,0.24656986465889946,-0.11751947240834178,0.6184731177907097,-0.004580235245125131,-0.050155614974663074,0.04081965425282864,-0.00927623070122281,-0.04780726524893478,0.02888150761818409,0.2604263306052474,-0.1045352417602292,0.6246289685089171,0.0,0.0,0.0,11.231051353021263
2017-01-10,2.7804441873316765,7.492744296892103,14.96384756746436,2.397788029295701,3.1595307536570663,0.1680150269622206,-0.21237987043492212,0.5464859320812663,0.0012074987260746674,-0.04499907774530809,0.04593719711802392,-0.08483158211784111,-0.12197302282946947,-0.049694252225757365,0.25163911035398706,-0.11398107257214136,0.6171669139323105,0.0,0.0,0.0,10.64795024703289
2017-01-11,2.7770052825877247,7.304499300161137,14.684774483016072,2.400036035796963,3.150435152415847,0.14569790056959578,-0.23473404093897796,0.5228217414158496,0.005301856812302151,-0.04054860709607787,0.051221284642411075,-0.10203075069499357,-0.14225666137912174,-0.061999020989910315,0.24242679445228726,-0.12205616627568916,0.6058549186614872,0.0,0.0,0.0,10.469998548501705
2017-01-12,2.773566377843773,8.100631476641524,15.826295865799684,2.3969255788954533,3.1392243454375586,0.27876241719016975,-0.08110380302910784,0.6468798002476618,0.00631670470547607,-0.03837595966878429,0.05026825489877027,0.03954831535969369,0.004667908137766513,0.07261060496637922,0.23289739712499993,-0.1254731516195914,0.5912713669883533,0.0,0.0,0.0,11.390967845349042
2017-01-13,2.7701274730998207,8.491108247668567,16.27957587105738,2.3981398903734745,3.1335559270367273,0.34781265275195267,-0.011406162323650444,0.7174102520548441,0.004248337609653965,-0.04202676027682724,0.04758463458480591,0.12040057685623375,0.08337294974055084,0.15634675146841448,0.22316373828606498,-0.13334967013831295,0.5864865153841519,0.0,0.0,0.0,11.88183694692936
2017-01-14,2.766688568355869,7.851935451489337,15.548168355293564,2.391872452644971,3.129791912284677,0.2563624285290978,-0.10341326085607883,0.6405079716106618,0.0006063237994151735,-0.0429293118010428,0.045099693236579544,0.042414067416301965,0.003646921067167164,0.08055378758713465,0.21334203731338058,-0.140815552287448,0.5773651998792736,0.0,0.0,0.0,11.177360392907007
