,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,quarterly,quarterly_lower,quarterly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-12-31,10.104478565517052,11.041689732475133,13.735174612142046,9.923026185969624,10.278366314360586,2.292819434919704,2.071592166615412,2.5105693389143355,0.05769562655023483,-0.012904926792889326,0.12716695020067215,0.06108019009286684,-0.41213682253744355,0.5321446188826101,0.06481229173329316,-0.03670269931995881,0.16536714774987754,2.109231326543309,1.608531129397284,2.598934496572591,0.0,0.0,0.0,12.397298000436756
1,2019-01-01,10.1027285291404,10.391497005317614,13.088453474598907,9.920282623471467,10.277182241104335,1.6427388405874772,1.4197254458919168,1.8652005798639022,0.060539953425854255,-0.010150173029921704,0.1302945901412415,0.04805563981294475,-0.4294560532014217,0.5218243542745343,-0.5708016065289733,-0.6692908851368483,-0.47017001428135907,2.1049448538776514,1.6079449780800352,2.589698946486667,0.0,0.0,0.0,11.745467369727876
2,2019-01-02,10.100978492763746,10.628665721774992,13.331312196143033,9.917484908505683,10.276122365775095,1.9007959930015768,1.6739619787625664,2.12601966544691,0.06082412862237496,-0.009240295723489445,0.13007700524376076,0.03492046513031512,-0.4415206419798339,0.5128417568302669,-0.2928068675660199,-0.3923565312704887,-0.1922309685862027,2.097858266814906,1.5987114572065824,2.585527401620949,0.0,0.0,0.0,12.001774485765322
3,2019-01-03,10.099228456387094,10.546869294502743,13.244817848416291,9.914723695699285,10.275157214828873,1.7782845324844705,1.5525523134258943,2.00021486994584,0.058536134760110284,-0.011383362328945303,0.12816619008618016,0.021865604372397564,-0.4558496634425077,0.505564624328051,-0.3901580160119224,-0.4901811938591475,-0.29023785794213985,2.0880408093638847,1.5872783282767622,2.5802992205728708,0.0,0.0,0.0,11.877512988871564
4,2019-01-04,10.09747842001044,10.470440516327825,13.223793251110987,9.911943579007735,10.274454953994079,1.7261048922674687,1.4985034593306175,1.9465557742415607,0.05377272796450751,-0.01644090164583552,0.12310265220798602,0.009076960685477836,-0.4677478679648882,0.49270998314935166,-0.4123238927875076,-0.5120683828703066,-0.3137080710997063,2.075579096404991,1.5759827011807823,2.5675075722512277,0.0,0.0,0.0,11.823583312277908
5,2019-01-05,10.095728383633787,11.39726425753478,14.145454021810362,9.909240276015142,10.273799018557146,2.6731692414688006,2.43789773630248,2.8989270259641278,0.04673534618217705,-0.022925906394828853,0.11686116152537651,-0.0032678275727648282,-0.48521650639295505,0.4824054506777357,0.5691253093638208,0.4688455104397775,0.6687098034741508,2.0605764134955677,1.5608533528706818,2.554529030749825,0.0,0.0,0.0,12.768897625102587
6,2019-01-06,10.093978347257133,11.827702665236798,14.558277380080922,9.906520038702524,10.273020792127625,3.0980237936294377,2.863243426201481,3.324208840562413,0.037721590646138614,-0.03168387227460659,0.1080493562239909,-0.015002444667075997,-0.4984147625376788,0.47199020082722215,1.0321527817976162,0.9329699706461945,1.1315346584014219,2.043151865852759,1.542348976209648,2.541851600310131,0.0,0.0,0.0,13.19200214088657
7,2019-01-07,10.09222831088048,10.797747683972963,13.543771043417427,9.903595388348517,10.27241009629702,2.08938958987774,1.855272027631437,2.313254747214364,0.027112640727472218,-0.04311876568069164,0.09732490435923802,-0.025974727092875332,-0.5110634238699298,0.4616008708548683,0.06481229173244457,-0.03670269932080006,0.16536714774896982,2.0234393845106986,1.5237985733702908,2.5276429616977847,0.0,0.0,0.0,12.18161790075822
8,2019-01-08,10.090478274503827,10.1364459215266,12.863552761966329,9.900816983091172,10.271255630287293,1.4100929139978968,1.181428227670584,1.6385203407181503,0.015357134381907153,-0.055091807977930236,0.08551579334487437,-0.03604921289519439,-0.5192031555499675,0.4534667049338372,-0.5708016065289772,-0.6692908851368443,-0.47017001428137845,2.001586599040161,1.4962917562874518,2.5056479546562263,0.0,0.0,0.0,11.500571188501723
9,2019-01-09,10.088728238127173,10.342638326365577,13.080740360427283,9.897864883036663,10.270381223658884,1.6427895518160476,1.416383032507731,1.8732170694092547,0.0029521958655060994,-0.0666627808891397,0.07358916345936764,-0.04510936399918547,-0.5349771511991832,0.4427357818699456,-0.2928068675658376,-0.3923565312702702,-0.1922309685858899,1.977753587515565,1.4740111050249463,2.48069136615957,0.0,0.0,0.0,11.73151778994322
10,2019-01-10,10.08697820175052,10.218391530575795,12.917718176145867,9.895370289334773,10.269594139315776,1.4993164915261084,1.26842250223891,1.7297501154592723,-0.00957758696892165,-0.08014299622897332,0.061386344548336094,-0.05305942109683103,-0.5424715826813366,0.43370787333949384,-0.3901580160114931,-0.4901811938586302,-0.29023785794161155,1.9521115156033542,1.4446666589074069,2.4549018093394825,0.0,0.0,0.0,11.58629469327663
11,2019-01-11,10.085228165373866,10.138569569515242,12.874780887814095,9.892475624788013,10.268951817346144,1.4309890805218317,1.2047203246946943,1.6589437572753938,-0.02170234677358193,-0.09296993583376789,0.04955978315983972,-0.05982585763418621,-0.5497478799654086,0.4253630797608817,-0.4123238927871218,-0.5120683828699365,-0.31370807109935456,1.9248411777167218,1.4179612690533323,2.423640443867423,0.0,0.0,0.0,11.516217245895698
